chr	start	end	name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	annotated_genes_1	annotated_genes_2	dist_to_TSS_1	dist_to_TSS_2
chr2	241564522	241564541	chr2_241564522_241564541_enh-1035968_16	83.14682835621734	-1.8869975507085806	0.411968904870222	-4.580436844627923	4.640057210351127e-6	0.011437741023515528	GPR35	AQP12B	19670	57785
chr3	126630822	126630841	chr3_126630822_126630841_enh-1042529_27	65.79339102482442	-1.644945717303255	0.5387948731583178	-3.053009223456195	0.0022655897463045994	0.22701946035125356	PLXNA1	CHCHD6	-76605	207769
chr3	126701233	126701252	chr3_126701233_126701252_enh-1042533_24	29.593736389489923	-1.5522168037103345	0.6972781312229637	-2.2261085414910182	0.026006911955409877	0.5120370444894996	PLXNA1	CHCHD6	-6194	278180
chr3	172333055	172333074	chr3_172333055_172333074_enh-1043580_9	30.03829405406793	-3.1364467930139606	0.8633561005005819	-3.6328541504431597	2.8030347160797183e-4	0.07776838627998034	TNFSF10	NCEH1	-91768	95943
chr3	185618077	185618096	chr3_185618077_185618096_enh-1043865_8	66.46716282526657	-1.5000281159640418	0.4928287304819856	-3.043710772497003	0.0023367968286266243	0.23159386333236973	IGF2BP2	TRA2B	-75243	37837
chr3	190292393	190292412	chr3_190292393_190292412_enh-1044115_2	49.63580572161096	-2.223081657113187	0.6374888560589685	-3.4872478726240654	4.8801882372561935e-4	0.10288233967595975	IL1RAP	GMNC	60512	288001
chr3	193991072	193991091	chr3_193991072_193991091_enh-1044203_6	137.34679809733615	-1.5658282951122804	0.3630406049246054	-4.313094110884551	1.609855496531497e-5	0.0198414689947507	CPN2	HES1	80975	137148
chr3	193999432	193999451	chr3_193999432_193999451_enh-1044203_1	25.278617060583997	-1.8410501498019038	0.8161355854695318	-2.2558140860170033	0.0240822768023054	0.4980101704503591	CPN2	HES1	72615	145508
chr3	194027885	194027904	chr3_194027885_194027904_enh-1044205_12	22.9416625633444	-2.915634632430975	1.0345494387000667	-2.8182651532772875	0.0048283918224017635	0.2917153392701065	CPN2	HES1	44162	173961
chr5	1470971	1470990	chr5_1470971_1470990_enh-1047490_4	6.515115187907981	-4.354126421425981	2.1879396948535437	-1.9900577843474052	0.046584570469535624	0.6056485559462306	SLC6A3	LPCAT1	-25436	53111
chr5	1474871	1474890	chr5_1474871_1474890_enh-1047490_16	36.85640658483887	-2.2106420107622475	0.9814369077311513	-2.2524545320724956	0.024293562939347865	0.4990302720457708	SLC6A3	LPCAT1	-29336	49211
chr5	1542370	1542389	chr5_1542370_1542389_enh-1047500_6	31.387676242244446	-2.336373560329515	0.8262708195088612	-2.8276123338329495	0.00468965587408918	0.29045230476456857	LPCAT1	MRPL36	-18288	257629
chr5	1557535	1557554	chr5_1557535_1557554_enh-1047502_6	94.11716613381348	-1.6104777893294437	0.43960130662324837	-3.663496366059876	2.4879574763536785e-4	0.07776838627998034	LPCAT1	MRPL36	-33453	242464
chr5	4415065	4415084	chr5_4415065_4415084_enh-1047512_4	45.61361667195236	-2.0802853344187717	0.6769267061896876	-3.0731323131397277	0.0021182454527344844	0.22124894241485188	ADAMTS16	IRX1	-725368	818907
chr5	159659133	159659152	chr5_159659133_159659152_enh-1051132_2	26.284370260557402	-1.641770502510781	0.7842693238614965	-2.093375901058092	0.03631561194008275	0.5518987881153143	FABP6	CCNJL	44769	80464
chr6	21588797	21588816	chr6_21588797_21588816_enh-1052381_11	29.35077752766159	-3.012613633637481	0.9822608570916188	-3.0670199386317236	0.0021620443507233866	0.2239260220392079	SOX4	NA	-5165	NA
chr6	21589151	21589170	chr6_21589151_21589170_enh-1052381_6	12.199506678115258	-4.207341190103925	1.3992764405812494	-3.006797704931147	0.002640153940625036	0.23751749867301872	SOX4	NA	-4811	NA
chr6	28864691	28864710	chr6_28864691_28864710_enh-1052598_6	43.37386785555671	-1.6544036739297112	0.5843086806710436	-2.831386437781016	0.004634668824965599	0.29045230476456857	SCAND3	TRIM27	-309589	27065
chr6	43639586	43639605	chr6_43639586_43639605_enh-1053078_12	47.19850957610721	-1.501574746498216	0.7106748110430853	-2.1128858419708108	0.03461053995252764	0.5441006440241112	MRPS18A	RSPH9	15932	26813
chr6	146679428	146679447	chr6_146679428_146679447_enh-1054841_7	35.01339288481224	-1.8050762950183992	0.7786802279474018	-2.3181226776189936	0.020442654762202885	0.46601646511668793	RAB32	GRM1	-185391	330656
chr7	2832976	2832995	chr7_2832976_2832995_enh-1055659_8	12.926430551602017	-3.1997174282668044	1.4820977329504008	-2.1589112223369717	0.0308570550602565	0.5369777815443987	GNA12	AMZ1	50972	113830
chr7	54773421	54773440	chr7_54773421_54773440_enh-1056992_11	91.4152358813939	-1.9911935138942822	0.4702841689675002	-4.234021991992435	2.2954848167465665e-5	0.02357654197200119	SEC61G	VSTM2A	54236	163413
chr8	22068936	22068955	chr8_22068936_22068955_enh-1059444_12	75.84805202341528	-1.5516072951890616	0.4379598530507418	-3.5428071417525415	3.958921101175765e-4	0.0964233276989972	POLR3D	BMP1	-33802	46697
chr8	22069021	22069040	chr8_22069021_22069040_enh-1059444_6	42.721203505615854	-1.7492581851124525	0.8309125457313162	-2.105225386352624	0.03527169344648751	0.5447664432681185	POLR3D	BMP1	-33717	46782
chr8	22900691	22900710	chr8_22900691_22900710_enh-1059487_1	42.33355353209968	-1.6515318697691803	0.7272039531473814	-2.271071083457747	0.023142675165012387	0.4920108031089475	TNFRSF10B	RHOBTB2	25991	55771
chr8	22900692	22900711	chr8_22900692_22900711_enh-1059487_19	27.43434021810312	-2.8807623292165405	0.9349936681286503	-3.0810500941490466	0.0020627194238224305	0.219659605958585	TNFRSF10B	RHOBTB2	25990	55772
chr8	23620597	23620616	chr8_23620597_23620616_enh-1059525_3	26.28589868477194	-3.856698242970301	0.9563091285476333	-4.032899120002702	5.509293420704802e-5	0.03395102070509334	NKX2-6	STC1	-56496	91713
chr8	25366547	25366566	chr8_25366547_25366566_enh-1059572_2	97.70779392290598	-1.7524137081138866	0.4049512398000412	-4.327468435407685	1.5083295250134782e-5	0.0198414689947507	CDCA2	EBF2	50044	536356
chr8	123997494	123997513	chr8_123997494_123997513_enh-1061439_14	20.715925097946425	-2.4598787462497347	1.2049551347482326	-2.041469159566435	0.0412042162947386	0.5836188816508986	DERL1	ZHX2	57159	203871
chr8	128975524	128975543	chr8_128975524_128975543_enh-1061665_4	20.61276410548262	-3.0518660321772835	1.2281802067036223	-2.4848682754531177	0.012959937979870554	0.4074776418415933	TMEM75	NA	-14943	NA
chr10	5992533	5992552	chr10_5992533_5992552_enh-1006905_12	33.13539114775594	-2.5092105865560868	0.9191500872606548	-2.729924765643327	0.006334878075036378	0.33509601834688135	IL15RA	FBXO18	27010	56194
chr10	6210851	6210870	chr10_6210851_6210870_enh-1006918_4	78.3153367362896	-1.702485557172519	0.4683575723141125	-3.635012344864398	2.779673249913941e-4	0.07776838627998034	PFKFB3	RBM17	-34033	79552
chr10	6217527	6217546	chr10_6217527_6217546_enh-1006918_4	36.70561318341881	-1.6144780678483175	0.6453148839093518	-2.5018453906838842	0.012354786564160506	0.4053175300502744	PFKFB3	RBM17	-27357	86228
chr10	48573651	48573670	chr10_48573651_48573670_enh-1008074_14	21.03323061064188	-3.7965162936219485	1.0382719404458087	-3.656572180879526	2.5561045844108503e-4	0.07776838627998034	GDF10	PTPN20B	-134685	233278
chr10	102107689	102107708	chr10_102107689_102107708_enh-1009386_13	67.49626469545575	-1.713163518344986	0.4702553589631406	-3.6430494319561104	2.694270715160863e-4	0.07776838627998034	WNT8B	SCD	-115099	818
chr10	124061422	124061441	chr10_124061422_124061441_enh-1009985_8	19.32407578920436	-2.1262228477666327	1.0830335136778866	-1.9632105755861302	0.049621711025881456	0.6162101048681549	PLEKHA1	BTBD16	-72780	30611
chr10	126077434	126077453	chr10_126077434_126077453_enh-1010041_12	58.10732271435792	-1.50818804370393	0.5586598739677635	-2.6996534277508486	0.006941174200168085	0.3405786491898539	CHST15	OAT	-225474	30061
chr11	61792605	61792624	chr11_61792605_61792624_enh-1011487_14	8.270852413002522	-6.504884567352869	2.370314762092917	-2.7443125577167025	0.006063777274446797	0.32353270522751854	INCENP	FTH1	-98830	-57483
chr11	126018256	126018275	chr11_126018256_126018275_enh-1013211_8	62.6629146735376	-1.5166642066735407	0.49259738472607056	-3.0789124215853185	0.0020775774606278715	0.219659605958585	CDON	FAM118B	-85079	-63043
chr11	126033577	126033596	chr11_126033577_126033596_enh-1013212_9	12.336114960565984	-2.682519390375709	1.328707657564449	-2.0188936031969797	0.0434982792418893	0.5906016227951616	CDON	FAM118B	-100400	-47722
chr12	25539852	25539871	chr12_25539852_25539871_enh-1014106_8	19.850541359340998	-2.0121922739634046	0.9386814057210799	-2.1436370867681895	0.032061976755590006	0.5383648467509796	KRAS	IFLTD1	-136125	166355
chr12	70446844	70446863	chr12_70446844_70446863_enh-1015277_23	59.25381266644445	-1.8906067792951664	0.6666852336176418	-2.8358311898347366	0.004570659783632309	0.29045230476456857	CNOT2	MYRFL	-189923	120538
chr12	99775984	99776003	chr12_99775984_99776003_enh-1015958_1	269.70359368714327	-1.7098758161435714	0.8718276054836185	-1.9612545019093224	0.049849341901557924	0.6162101048681549	FAM71C	APAF1	-265537	737075
chr12	125262391	125262410	chr12_125262391_125262410_enh-1016734_14	45.16067781694795	-1.5404608380906215	0.5821552604414323	-2.6461340174484254	0.008141755322897687	0.3674262560715034	NCOR2	SCARB1	-282603	85992
chr13	44678021	44678040	chr13_44678021_44678040_enh-1017447_2	68.12710401986762	-2.1961384401392996	0.5713218397468605	-3.8439602468415313	1.2106462534696142e-4	0.05526375953338146	SMIM2	LACC1	57362	224611
chr14	93012927	93012946	chr14_93012927_93012946_enh-1019931_8	18.820951562399976	-3.517691619556376	1.2904826588638638	-2.7258728316840295	0.006413170174176923	0.3356036804625295	RIN3	LGMN	32819	202087
chr15	102154630	102154649	chr15_102154630_102154649_enh-1022552_4	30.6231755287424	-2.558450515548924	0.8977059374508383	-2.84998729407316	0.00437209756273023	0.289710228283065	PCSK6	TM2D3	-124767	37930
chr16	69051416	69051435	chr16_69051416_69051435_enh-1023901_1	50.05912066195808	-2.1445430521879643	0.8267847962462924	-2.5938346495054834	0.009491212112548887	0.38353832553168865	HAS3	TANGO6	-90017	173917
chr17	36209055	36209074	chr17_36209055_36209074_enh-1025599_3	38.97913896752223	-1.617638267047516	0.662706748039475	-2.440956383548337	0.014648423840051905	0.41824151518968355	HNF1B	TBC1D3F	-103828	-74906
chr17	39061165	39061184	chr17_39061165_39061184_enh-1025726_1	83.80106220563904	-1.635441465620848	0.4627923823045074	-3.5338556297686914	4.0954471509691915e-4	0.0966092959949191	KRT20	KRT23	-19696	32497
chr17	43058698	43058717	chr17_43058698_43058717_enh-1025938_12	41.892491355776876	-1.8760576425009907	0.8540518641273297	-2.196655403847103	0.028045066127467305	0.5235256139980448	C1QL1	DCAKD	-13269	53801
chr19	6516506	6516525	chr19_6516506_6516525_enh-1029065_9	38.769073344142775	-2.006477640342672	0.8700771341703661	-2.3060916803150837	0.02110551009160806	0.47209693625965393	TNFSF9	TUBB4A	-14494	-13921
chr19	6536538	6536557	chr19_6536538_6536557_enh-1029066_8	48.47331768038626	-1.6381651580277856	0.5317399537085277	-3.0807637203160834	0.002064704213705973	0.219659605958585	TNFSF9	CD70	5538	54615
chr20	25299138	25299157	chr20_25299138_25299157_enh-1036842_4	69.38998955579567	-1.5272788922942515	0.4927463296129591	-3.09952363012809	0.0019383211539352443	0.21522349749776473	PYGB	ABHD12	70443	72471
chr20	34380927	34380946	chr20_34380927_34380946_enh-1037039_18	30.382232489069743	-1.980876262425687	1.0098589158979905	-1.9615376279212675	0.04981634005667121	0.6162101048681549	PHF20	SCAND1	21032	166457
chr20	34380934	34380953	chr20_34380934_34380953_enh-1037039_14	35.34059458531509	-1.648397435193479	0.7610987399451242	-2.1658128553889466	0.030325490591718563	0.5347091152259389	PHF20	SCAND1	21039	166450
chr20	39620050	39620069	chr20_39620050_39620069_enh-1037204_6	33.886717957961025	-3.066873004688742	0.6898034392331179	-4.446010022939734	8.747986842551994e-6	0.015637736704450195	MAFB	TOP1	-302180	-37398
chr20	48391677	48391696	chr20_48391677_48391696_enh-1037489_8	55.74025956479185	-1.9307820286124393	0.5242895146541957	-3.6826638234142832	2.3080944766042257e-4	0.07776838627998034	B4GALT5	SLC9A8	-61272	-37563
chr20	61370726	61370745	chr20_61370726_61370745_enh-1037869_11	15.3640819817851	-7.397800196616277	1.6651384170270436	-4.442753900197913	8.881473178998081e-6	0.015637736704450195	MRGBP	NTSR1	-57069	30547
